gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LINC01088,78.68035635750891,1.3486811232256393,0.2430430759646028,5.5491443970288765,2.8707101027778805e-08,0.00041217655655684807
LHFPL6,49.84226318337602,1.5274320473663425,0.2835091398580113,5.387593670282799,7.140726224799687e-08,0.0005126327356783695
GLI3,6.628823797661663,1.5675955515922486,0.29564015105360947,5.302377048603223,1.1430444941323115e-07,0.0005470610948917243
SASH1,61.691361744488134,1.0956777489312723,0.21379238320940427,5.124961574791388,2.9759843273120214e-07,0.00085458365943092
TPD52L1,22.085807624936706,1.8164872524714104,0.3532876723787137,5.141666110908593,2.7231273993412447e-07,0.00085458365943092
NRG3,166.87714803577845,1.335916528715459,0.263328058864595,5.073202356314015,3.9117613089289833e-07,0.0009360844812267057
PARD3,49.64777955800365,1.305721712161999,0.26151543119562065,4.992905031234213,5.947780801694064e-07,0.0012199748107246196
FLRT2,15.551348418666013,1.4813031786629012,0.30143233510541245,4.914214588640205,8.913907565618966e-07,0.001599823560339464
FAP,4.703443334697839,2.4760097042600577,0.5113215132263189,4.842373419097931,1.28297365562577e-06,0.0018420935747474805
NFIB,33.52758604433084,1.420642744573996,0.29321514188004755,4.8450524603370315,1.2657822878349437e-06,0.0018420935747474805
KLF15,7.154227007112629,1.4221721607153155,0.297866551897208,4.774527893974812,1.8012931641957855e-06,0.0023511788410475534
MXI1,61.678975734035305,0.9066954791806086,0.19178512022877398,4.727663324970374,2.271183608949092e-06,0.0025084349428685436
WWTR1,19.416942018835403,0.924557057508126,0.19553588037559605,4.728324314351853,2.2638038622818448e-06,0.0025084349428685436
GRAMD2B,34.99516623605934,1.0718765846595515,0.22754006723201925,4.710715777219907,2.468482912683858e-06,0.0025316055471653453
SERPINI2,8.952264344954017,1.6153487470316288,0.34612914188335225,4.666896113520576,3.05783835819074e-06,0.0029269628764601765
CLIP4,39.80354372420055,1.121223219356318,0.24238139059355074,4.625863465056593,3.7304099211545744e-06,0.003175985766427387
DPF3,21.49975651588097,0.8559719479876101,0.185106871986936,4.624204054661032,3.76039546101585e-06,0.003175985766427387
CD69,66.12870908952296,-1.7836224071666458,0.392034374566632,-4.549658200606316,5.37331239957844e-06,0.0042563221367662146
MFAP3L,18.56073551792791,0.9228547613796673,0.2032836906011919,4.539738326524933,5.632408455116177e-06,0.0042563221367662146
CTNND2,142.8692251558401,1.0332093319645028,0.229300889091146,4.505910709983367,6.60888755109908e-06,0.0047445203729340295
NTM,137.4787965349044,1.2150894475560967,0.27122826056982213,4.479951480731843,7.466000872878051e-06,0.00510461145394205
COLGALT2,23.2213183408547,1.3762266315335812,0.3083589619212107,4.463066754924487,8.07948681158615e-06,0.005272966892761542
PRRX1,10.910938106098616,1.603355751196051,0.36020424054016587,4.451240631680634,8.537560717954467e-06,0.0053296650777560975
GABRG2,9.924497274867077,-2.262377300665423,0.513592272630801,-4.405006502681062,1.0578070467733243e-05,0.0063010076262365105
PDE7B,26.82851916010607,1.0564679077275207,0.24073196743034775,4.388565087572735,1.1410098779924032e-05,0.0063010076262365105
DPP10,74.06540563365925,1.723481588508147,0.39208161742510783,4.395721482243049,1.1040542428826464e-05,0.0063010076262365105
RANBP3L,15.19160665787754,1.9914401875677628,0.45817223868778334,4.346488109518152,1.3833454679383112e-05,0.007356323788391954
GPR75-ASB3,95.59284434963044,0.6057012022295484,0.14089171948197812,4.299054653151745,1.7152817469618908e-05,0.00879571975817101
FMN2,45.893845402682615,1.2458980210771233,0.29208228860285135,4.265571962739546,1.9939073082378995e-05,0.009020749008265707
KANK1,35.051177332342725,0.9969886145255499,0.23383045950847997,4.263724309575647,2.0104747754875515e-05,0.009020749008265707
NPAS2,15.537336248042434,1.2428478807486234,0.29068861760427084,4.275529915796618,1.9068319262385573e-05,0.009020749008265707
TSHZ2,34.328143020429685,1.5191246366920257,0.35495382008139525,4.279781060938214,1.8707725366042353e-05,0.009020749008265707
RASL12,7.97839996705441,1.4389914631514449,0.34465375506477836,4.175179994429434,2.9775053589059218e-05,0.012263953101194046
ADCY8,19.99759055415242,1.5527999311624645,0.3720383864450321,4.173762675405774,2.9960985807949508e-05,0.012263953101194046
KIAA1755,23.509333291121006,1.3342731192630994,0.3203670325210846,4.164826538995661,3.115893729310766e-05,0.012263953101194046
MAPK4,25.56137113439761,1.4613695229008674,0.35097776300127254,4.1637097188278815,3.1311815419010667e-05,0.012263953101194046
ORC6,5.622535155955427,-1.4077365250062706,0.33826878609307914,-4.161591559378798,3.1603723690220064e-05,0.012263953101194046
