Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Regulation Of Myoblast Differentiation (GO:0045661),8.806813e-01,1.842821e+00,0.000000e+00,5.550108e-03,6.000000e-03,5/39,2.70%,RANBP3L;DPF3;SOX8;BOC;PLCB1
prerank,Positive Regulation Of Myoblast Differentiation (GO:0045663),9.137332e-01,1.796525e+00,0.000000e+00,1.156273e-02,2.200000e-02,4/29,2.70%,RANBP3L;DPF3;BOC;PLCB1
prerank,Mesenchymal Cell Differentiation (GO:0048762),8.620816e-01,1.787425e+00,2.178649e-03,1.017520e-02,2.800000e-02,11/40,7.64%,RANBP3L;TGFBR3;HGF;BMP7;FGFR2;SOX9;TRIM28;NOTCH4;TGFB2;S100A4;FGFR1
prerank,Regulation Of Smoothened Signaling Pathway (GO:0008589),8.465974e-01,1.733940e+00,0.000000e+00,4.416961e-02,1.460000e-01,7/36,6.40%,GLI3;RORA;FGFR2;ARMC9;PTCH1;PTCH2;TUBD1
prerank,Synaptic Vesicle Exocytosis (GO:0016079),-8.809387e-01,-1.717428e+00,0.000000e+00,9.941032e-02,7.900000e-02,15/32,6.28%,SYT1;CPLX1;SYT4;RAB3A;UNC13C;SYT5;SNAP25;STX19;RIMS3;CPLX2;SYT7;STX1B;RIMS1;CDK5;RIMS2
prerank,Regulation Of Secretion By Cell (GO:1903530),-8.307061e-01,-1.707090e+00,0.000000e+00,6.451096e-02,1.020000e-01,9/45,4.02%,SYT1;CPLX1;RAB3A;RAB3C;SCG5;SYN1;CPLX2;RIMS1;NSF
prerank,Regulation Of Regulated Secretory Pathway (GO:1903305),-8.957549e-01,-1.704851e+00,0.000000e+00,4.653249e-02,1.100000e-01,13/28,6.28%,SYT1;SYT4;RAB3A;SYT5;SYT13;RAB15;SYN1;RIMS3;SYT7;RIMS1;RPH3A;VPS18;RIMS2
prerank,Regulation Of Epithelial Cell Migration (GO:0010632),8.105241e-01,1.683171e+00,2.262443e-03,1.494829e-01,4.780000e-01,12/40,7.19%,SASH1;BMPER;EMP2;PLCG2;PTPRG;DOCK1;SOX9;DUSP10;PTN;ENPP2;DAB2IP;TGFB2
prerank,Regulation Of Osteoblast Differentiation (GO:0045667),7.507561e-01,1.679044e+00,0.000000e+00,1.356693e-01,5.140000e-01,16/65,6.08%,RANBP3L;YAP1;WWTR1;BMPR1B;PRKD1;FERMT2;GREM1;HGF;SMOC1;RORB;LTF;BMP7;FGFR2;TMEM64;SOX9;PTCH1
prerank,Regulation Of Catecholamine Secretion (GO:0050433),-9.092588e-01,-1.678522e+00,0.000000e+00,7.059191e-02,2.050000e-01,8/21,4.60%,SYT1;SYT4;SYT5;SYT13;CHRNB2;CHRNA4;SYT7;KCNB1
prerank,Regulation Of Vasculature Development (GO:1901342),8.668019e-01,1.678229e+00,0.000000e+00,1.186666e-01,5.200000e-01,6/23,7.56%,RAPGEF3;BMPER;GPNMB;FGF2;EMP2;PLXND1
prerank,Negative Regulation Of Osteoblast Differentiation (GO:0045668),8.786361e-01,1.675092e+00,2.212389e-03,1.118116e-01,5.450000e-01,6/23,6.08%,RANBP3L;GREM1;RORB;TMEM64;SOX9;PTCH1
prerank,Sensory Organ Development (GO:0007423),8.349946e-01,1.674011e+00,0.000000e+00,1.019575e-01,5.540000e-01,7/32,4.70%,BMPR1B;MEIS2;CPAMD8;SMOC1;ECE1;OLIG2;SOX2
prerank,Regulation Of Dopamine Secretion (GO:0014059),-9.337657e-01,-1.672054e+00,0.000000e+00,7.022176e-02,2.520000e-01,6/17,3.05%,SYT1;SYT4;SYT5;SYT13;CHRNB2;SYT7
