"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
1.12263777675079e-94,-0.687820035840209,0.867,0.853,3.22185815549709e-90,"FP236383.1"
1.52487872571421e-81,-0.75233280503756,0.973,0.991,4.3762494549272e-77,"RASGEF1B"
5.50734565842232e-76,-1.03933035344369,0.423,0.584,1.58055313051062e-71,"MAP1B"
5.6893053688699e-69,-0.768686140136357,0.783,0.801,1.63277374781197e-64,"LINGO1"
2.53243579209001e-61,0.989349800736746,0.797,0.512,7.26783747971912e-57,"FKBP5"
5.53265704817054e-58,0.809004319453239,0.966,0.889,1.58781724625446e-53,"NEAT1"
8.65184596063059e-54,-1.87301211702838,0.133,0.251,2.48299327224137e-49,"SNAP25"
6.17043210671055e-49,0.538817052135678,0.773,0.625,1.77085231030486e-44,"SPP1"
1.7886095554323e-46,-1.81623730925982,0.112,0.231,5.13313056313516e-42,"NEFL"
3.77966487283336e-46,1.15691495007592,0.463,0.271,1.08472602185445e-41,"ACSL1"
9.91758691494158e-44,1.12600018171247,0.237,0.123,2.84624826871908e-39,"RGS1"
1.98390258875147e-38,-0.797130577684759,0.871,0.913,5.69360203945785e-34,"SLC26A3"
9.48432307681567e-36,-2.70882576045501,0.024,0.081,2.72190587981533e-31,"AC068992.1"
1.8011607422592e-35,0.452975558278368,0.898,0.792,5.16915121420969e-31,"SSH2"
4.09298130219731e-32,2.17221063097655,0.14,0.024,1.17464470391761e-27,"MTRNR2L1"
9.97987553400538e-32,1.14486071320434,0.492,0.287,2.86412447950421e-27,"HIF1A"
4.29203483782865e-31,-0.366944386867979,0.652,0.661,1.23177107810844e-26,"AL078639.1"
5.11992090110257e-29,0.830532380368591,0.582,0.374,1.46936609940743e-24,"FOXP2"
1.4979793660631e-28,-0.463400844839134,0.994,0.997,4.2990509826645e-24,"MT-CO1"
4.43985460473554e-28,-2.00074492500715,0.049,0.126,1.27419387301305e-23,"NRG1"
1.41891264554889e-27,-1.29139279710689,0.228,0.361,4.07213740146075e-23,"CX3CR1"
4.30354624436929e-26,0.680382469495272,0.249,0.17,1.23507473667154e-21,"MIR181A1HG"
1.94967075084125e-25,-2.07246625868689,0.047,0.123,5.59536008783931e-21,"NEFM"
3.02190517177677e-24,-0.258446827950686,0.993,0.997,8.67256565248216e-20,"MT-ND4"
5.87709208045718e-24,2.81560526225777,0.121,0.018,1.68666665617041e-19,"HIF1A-AS2"
2.12601552933454e-23,0.911098831767887,0.453,0.327,6.10145196763719e-19,"PADI2"
2.12972146126875e-23,0.532964739968651,0.917,0.841,6.11208762169519e-19,"CELF2"
3.65559328687492e-23,0.875952048512681,0.421,0.273,1.04911871740023e-18,"FAM13A"
1.49621184975246e-21,-1.25071655694463,0.114,0.215,4.29397838760458e-17,"SYT1"
2.43570260368497e-21,-1.11124094580114,0.1,0.182,6.9902229023155e-17,"ROBO2"
8.09420548441184e-21,0.522593272202691,0.626,0.456,2.32295603197135e-16,"SRGAP1"
1.68395059510355e-20,-2.18012705356869,0.038,0.108,4.83276981288768e-16,"NEFH"
8.02092086566019e-20,1.18785043662964,0.544,0.288,2.30192407923582e-15,"CCND3"
9.79964513420124e-19,0.198354719858291,0.431,0.367,2.81240015706441e-14,"TLR2"
2.26227501326559e-18,0.342664333589648,0.455,0.367,6.4925030605709e-14,"TLN2"
3.12140107736254e-18,-0.863962190145712,0.702,0.783,8.95810895192274e-14,"AC244021.1"
9.88092709847537e-18,-0.20848115586302,0.519,0.505,2.83572726799145e-13,"TMSB4X"
9.94644269693839e-18,1.41409998017839,0.096,0.024,2.85452958959435e-13,"DDIT4"
1.14716610851179e-17,-0.32946822261833,0.2,0.213,3.29225201481799e-13,"MAP2"
1.80493306380882e-17,-1.12198126113607,0.126,0.207,5.17997739982494e-13,"RBFOX1"
2.34967238130723e-17,-1.15654934463277,0.064,0.106,6.74332476711361e-13,"STMN2"
3.70708404602728e-17,0.578624488867128,0.147,0.092,1.06389605036937e-12,"SLC16A3"
3.76671015307082e-17,0.243857304153837,0.695,0.582,1.08100814682979e-12,"HSP90AA1"
4.95150660271598e-17,0.135318174957255,0.181,0.157,1.42103287991346e-12,"JAK3"
6.06337613679008e-17,0.891751715113081,0.266,0.159,1.74012831749739e-12,"RNF144B"
2.4487631756494e-16,0.250955020456583,0.399,0.309,7.0277054377962e-12,"PHC2"
2.73442203324499e-16,-1.06753323661605,0.068,0.113,7.8475177932098e-12,"KCND2"
2.96448520671221e-16,0.434780101563792,0.786,0.685,8.50777609474337e-12,"RUNX1"
6.71317021679548e-16,-0.74354332175547,0.468,0.534,1.92661272051813e-11,"MAF"
8.42971030594541e-16,0.604522312693718,0.119,0.077,2.41924256070327e-11,"SLC2A3"
1.17647610524793e-15,0.223642214331593,0.557,0.475,3.37636877445103e-11,"PDE4B"
1.37778421739729e-15,0.166687003864402,0.981,0.98,3.95410292550849e-11,"MT-ND3"
2.04913422027669e-15,0.249095345624415,0.329,0.258,5.88081029877208e-11,"TNFRSF1B"
2.33042650487928e-15,0.546199262205894,0.651,0.483,6.68809102635304e-11,"SMAP2"
4.87742312924773e-15,0.668097016438832,0.154,0.096,1.39977166386281e-10,"MAP3K8"
6.52063556729583e-15,0.316824158128102,0.256,0.199,1.87135720145823e-10,"PLSCR1"
9.93222139248046e-15,-0.736636264130766,0.31,0.372,2.85044821742797e-10,"TUBA1B"
1.1940854155824e-14,1.0175293718097,0.37,0.184,3.42690573417993e-10,"IRS2"
1.21839486431888e-14,-0.164209071366666,0.34,0.314,3.49667142110875e-10,"RTN3"
1.27440784362928e-14,-0.390516307177396,0.495,0.521,3.65742307043168e-10,"MYO1F"
1.4046440175215e-14,0.579197072144198,0.575,0.414,4.03118786588494e-10,"FAM149A"
1.90458799938501e-14,0.366704383843343,0.357,0.279,5.46597709943503e-10,"C1QB"
3.03497196465775e-14,0.763602987352245,0.526,0.352,8.71006604137127e-10,"CTTNBP2"
3.29824169258192e-14,0.605183976468384,0.184,0.132,9.46562383354085e-10,"FAM110B"
4.97615723130944e-14,-0.226266254434668,0.193,0.197,1.4281073638135e-09,"TBC1D8"
5.44384402995373e-14,1.23787598103593,0.106,0.035,1.56232879815642e-09,"CEBPD"
8.93991648864944e-14,-0.917388606549161,0.067,0.094,2.5656666330775e-09,"EEF1A2"
1.13024061012774e-13,0.838590980833478,0.725,0.553,3.24367752700559e-09,"AC016831.7"
1.29826000620661e-13,-0.451998474246498,0.218,0.205,3.72587639181236e-09,"ATP1B1"
1.33410975864312e-13,-0.680474815274215,0.67,0.759,3.82876159632989e-09,"C3"
1.59121039068583e-13,-0.184973611638807,0.532,0.527,4.56661470022926e-09,"BACH1"
1.94374110729073e-13,0.758143860428837,0.337,0.202,5.57834260381365e-09,"SEC14L1"
2.09338074562942e-13,0.781520460537694,0.243,0.14,6.00779340188188e-09,"UBXN2B"
2.63529646227306e-13,1.28137807967371,0.23,0.099,7.56303731707745e-09,"PGK1"
3.84260680410704e-13,-0.797640128718661,0.058,0.088,1.10278972671068e-08,"RIMS2"
4.15383577604392e-13,-0.917135675815656,0.534,0.658,1.19210932936684e-08,"ZFP36L1"
4.87212326235259e-13,0.296357311630197,0.731,0.625,1.39825065506257e-08,"ETV6"
6.20981947070349e-13,-1.84020939827739,0.028,0.076,1.78215608989719e-08,"STXBP5L"
6.83788332166933e-13,-0.128952808989321,0.068,0.078,1.96240413448588e-08,"HAMP"
6.84388053407182e-13,-0.510866236399205,0.337,0.374,1.96412527447327e-08,"SOCS6"
8.29778192474244e-13,-1.43350100794656,0.035,0.06,2.38138043458183e-08,"VSNL1"
8.79105167855632e-13,0.342931318163428,0.344,0.262,2.52294392122888e-08,"SRGN"
9.20181562685486e-13,0.616340265476579,0.432,0.289,2.64082906675108e-08,"GPRIN3"
1.56976213747189e-12,-0.349033584814828,0.24,0.233,4.50506035833058e-08,"YWHAG"
1.67045335344365e-12,-0.527035180349443,0.292,0.315,4.79403407904793e-08,"MARCKS"
1.72744869080456e-12,-0.917631978174824,0.102,0.14,4.95760499774e-08,"MAP1A"
1.79176127693088e-12,0.479431500357223,0.353,0.254,5.14217568866394e-08,"CHST15"
1.79678634536314e-12,0.805557975219765,0.316,0.153,5.15659713255767e-08,"ZBTB16"
1.81655953530971e-12,0.571753011382956,0.591,0.468,5.21334421038535e-08,"RAPGEF1"
2.19717555655746e-12,-0.305959371582161,0.191,0.257,6.30567412976425e-08,"CNTNAP2"
2.33115576757327e-12,-0.982689670200709,0.085,0.129,6.69018393735853e-08,"GPC5"
3.18942431321264e-12,1.12154911823125,0.317,0.159,9.15332883648897e-08,"BNIP3L"
