sample,group,cell_type,n_nuclei,proportion
s_0096,PD,Astro,644,0.1612015018773467
s_0096,PD,Micro,395,0.09887359198998748
s_0096,PD,Neurons,105,0.026282853566958697
s_0096,PD,OPC,231,0.05782227784730914
s_0096,PD,Oligo,2516,0.6297872340425532
s_0096,PD,T cells,19,0.004755944931163955
s_0096,PD,VC,85,0.02127659574468085
s_0098,PD,Astro,1830,0.22670961347869178
s_0098,PD,Micro,1505,0.18644697720515363
s_0098,PD,Neurons,526,0.0651635282457879
s_0098,PD,OPC,332,0.04112983151635283
s_0098,PD,Oligo,3795,0.47014370664023786
s_0098,PD,T cells,14,0.001734390485629336
s_0098,PD,VC,70,0.00867195242814668
s_0100,PD,Astro,335,0.14888888888888888
s_0100,PD,Micro,259,0.11511111111111111
s_0100,PD,Neurons,26,0.011555555555555555
s_0100,PD,OPC,321,0.14266666666666666
s_0100,PD,Oligo,1272,0.5653333333333334
s_0100,PD,T cells,11,0.004888888888888889
s_0100,PD,VC,26,0.011555555555555555
s_0102,PD,Astro,983,0.26704699809834287
s_0102,PD,Micro,538,0.14615593588698722
s_0102,PD,Neurons,55,0.014941591958706873
s_0102,PD,OPC,261,0.07090464547677261
s_0102,PD,Oligo,1699,0.4615593588698723
s_0102,PD,T cells,60,0.016299918500407497
s_0102,PD,VC,85,0.023091551208910623
s_0103,PD,Astro,735,0.3748087710351861
s_0103,PD,Micro,670,0.34166241713411527
s_0103,PD,Neurons,15,0.007649158592554819
s_0103,PD,OPC,355,0.18103008669046405
s_0103,PD,Oligo,145,0.07394186639469659
s_0103,PD,T cells,9,0.004589495155532891
s_0103,PD,VC,32,0.01631820499745028
s_0104,PD,Astro,800,0.387409200968523
s_0104,PD,Micro,364,0.17627118644067796
s_0104,PD,Neurons,18,0.008716707021791767
s_0104,PD,OPC,255,0.1234866828087167
s_0104,PD,Oligo,608,0.2944309927360775
s_0104,PD,T cells,8,0.00387409200968523
s_0104,PD,VC,12,0.005811138014527845
s_0105,PD,Astro,571,0.3348973607038123
s_0105,PD,Micro,141,0.08269794721407625
s_0105,PD,Neurons,12,0.007038123167155425
s_0105,PD,OPC,189,0.11085043988269795
s_0105,PD,Oligo,765,0.44868035190615835
s_0105,PD,T cells,2,0.0011730205278592375
s_0105,PD,VC,25,0.01466275659824047
s_0107,PD,Astro,509,0.3217446270543616
s_0107,PD,Micro,332,0.20986093552465235
s_0107,PD,Neurons,13,0.008217446270543615
s_0107,PD,OPC,147,0.09292035398230089
s_0107,PD,Oligo,555,0.35082174462705434
s_0107,PD,T cells,4,0.0025284450063211127
s_0107,PD,VC,22,0.01390644753476612
s_0109,PD,Astro,627,0.19892131979695432
s_0109,PD,Micro,403,0.12785532994923857
s_0109,PD,Neurons,365,0.1157994923857868
s_0109,PD,OPC,130,0.041243654822335024
s_0109,PD,Oligo,1493,0.47366751269035534
s_0109,PD,T cells,33,0.010469543147208122
s_0109,PD,VC,101,0.032043147208121826
s_0110,PD,Astro,457,0.28227300802964794
s_0110,PD,Micro,141,0.08709079678814083
s_0110,PD,Neurons,157,0.09697344039530574
s_0110,PD,OPC,182,0.11241507103150093
s_0110,PD,Oligo,589,0.3638048177887585
s_0110,PD,T cells,1,0.0006176652254478073
s_0110,PD,VC,92,0.05682520074119827
s_0111,PD,Astro,894,0.2575626620570441
s_0111,PD,Micro,573,0.16508210890233363
s_0111,PD,Neurons,75,0.021607605877268798
s_0111,PD,OPC,222,0.06395851339671564
s_0111,PD,Oligo,1632,0.4701815038893691
s_0111,PD,T cells,9,0.0025929127052722557
s_0111,PD,VC,66,0.01901469317199654
s_0116,PD,Astro,469,0.28527980535279807
s_0116,PD,Micro,381,0.23175182481751824
s_0116,PD,Neurons,153,0.09306569343065693
s_0116,PD,OPC,195,0.11861313868613138
s_0116,PD,Oligo,429,0.26094890510948904
s_0116,PD,VC,17,0.010340632603406326
s_0118,PD,Astro,737,0.40472267984623833
s_0118,PD,Micro,191,0.10488742449203735
s_0118,PD,Neurons,158,0.08676551345414607
s_0118,PD,OPC,118,0.06479956068094453
s_0118,PD,Oligo,596,0.3272926963207029
s_0118,PD,T cells,3,0.0016474464579901153
s_0118,PD,VC,18,0.009884678747940691
s_0119,PD,Astro,334,0.3839080459770115
s_0119,PD,Micro,173,0.19885057471264367
s_0119,PD,Neurons,20,0.022988505747126436
s_0119,PD,OPC,61,0.07011494252873564
s_0119,PD,Oligo,257,0.29540229885057473
s_0119,PD,T cells,10,0.011494252873563218
s_0119,PD,VC,15,0.017241379310344827
s_0120,PD,Astro,591,0.36257668711656443
s_0120,PD,Micro,307,0.18834355828220858
s_0120,PD,Neurons,27,0.016564417177914112
s_0120,PD,OPC,230,0.1411042944785276
s_0120,PD,Oligo,427,0.26196319018404907
s_0120,PD,T cells,14,0.008588957055214725
s_0120,PD,VC,34,0.020858895705521473
s_0127,Control,Astro,174,0.09081419624217119
s_0127,Control,Micro,87,0.04540709812108559
s_0127,Control,Neurons,53,0.027661795407098122
s_0127,Control,OPC,215,0.11221294363256785
s_0127,Control,Oligo,1349,0.704070981210856
s_0127,Control,T cells,8,0.0041753653444676405
s_0127,Control,VC,30,0.015657620041753653
s_0128,Control,Astro,545,0.2903569525839105
s_0128,Control,Micro,587,0.31273308470964306
s_0128,Control,Neurons,88,0.046883324453915826
s_0128,Control,OPC,252,0.1342567927543953
s_0128,Control,Oligo,386,0.2056473095364944
s_0128,Control,VC,19,0.010122535961640916
s_0129,Control,Astro,893,0.30718954248366015
s_0129,Control,Micro,363,0.12487100103199174
s_0129,Control,Neurons,60,0.02063983488132095
s_0129,Control,OPC,317,0.10904712762297901
s_0129,Control,Oligo,1215,0.4179566563467492
s_0129,Control,T cells,14,0.004815961472308222
s_0129,Control,VC,45,0.015479876160990712
s_0130,Control,Astro,1151,0.22612966601178783
s_0130,Control,Micro,922,0.18113948919449901
s_0130,Control,Neurons,297,0.05834970530451866
s_0130,Control,OPC,505,0.09921414538310412
s_0130,Control,Oligo,2139,0.42023575638506877
s_0130,Control,T cells,19,0.0037328094302554026
s_0130,Control,VC,57,0.011198428290766208
s_0131,Control,Astro,1363,0.2617127496159754
s_0131,Control,Micro,1055,0.20257296466973887
s_0131,Control,Neurons,849,0.1630184331797235
s_0131,Control,OPC,334,0.0641321044546851
s_0131,Control,Oligo,1505,0.28897849462365593
s_0131,Control,T cells,8,0.0015360983102918587
s_0131,Control,VC,94,0.01804915514592934
s_0142,Control,Astro,979,0.3683220466516178
s_0142,Control,Micro,547,0.2057938299473288
s_0142,Control,Neurons,189,0.07110609480812641
s_0142,Control,OPC,223,0.08389766741911212
s_0142,Control,Oligo,611,0.22987208427389014
s_0142,Control,T cells,4,0.0015048908954100827
s_0142,Control,VC,105,0.039503386004514675
s_0147,Control,Astro,305,0.14677574590952838
s_0147,Control,Micro,202,0.09720885466794996
s_0147,Control,Neurons,350,0.16843118383060635
s_0147,Control,OPC,247,0.1188642925890279
s_0147,Control,Oligo,897,0.43166506256015397
s_0147,Control,T cells,12,0.005774783445620789
s_0147,Control,VC,65,0.03128007699711261
s_0151,Control,Astro,711,0.26699211415696583
s_0151,Control,Micro,216,0.08111152835148329
s_0151,Control,Neurons,28,0.010514457378895982
s_0151,Control,OPC,206,0.07735636500187758
s_0151,Control,Oligo,1423,0.5343597446488922
s_0151,Control,T cells,18,0.006759294029290274
s_0151,Control,VC,61,0.02290649643259482
s_0152,Control,Astro,952,0.22511231969732798
s_0152,Control,Micro,631,0.14920785055568692
s_0152,Control,Neurons,1026,0.2426105462284228
s_0152,Control,OPC,199,0.04705604161740364
s_0152,Control,Oligo,1343,0.31756916528730195
s_0152,Control,T cells,19,0.004492787893118941
s_0152,Control,VC,59,0.013951288720737764
s_0153,Control,Astro,186,0.16681614349775784
s_0153,Control,Micro,403,0.3614349775784753
s_0153,Control,Neurons,47,0.042152466367713005
s_0153,Control,OPC,125,0.11210762331838565
s_0153,Control,Oligo,338,0.3031390134529148
s_0153,Control,T cells,1,0.0008968609865470852
s_0153,Control,VC,15,0.013452914798206279
s_0154,Control,Astro,712,0.2989084802686818
s_0154,Control,Micro,366,0.15365239294710328
s_0154,Control,Neurons,141,0.05919395465994962
s_0154,Control,OPC,187,0.0785054575986566
s_0154,Control,Oligo,966,0.40554156171284633
s_0154,Control,VC,10,0.0041981528127623844
s_0158,Control,Astro,912,0.21428571428571427
s_0158,Control,Micro,563,0.13228383458646617
s_0158,Control,Neurons,694,0.16306390977443608
s_0158,Control,OPC,219,0.051456766917293235
s_0158,Control,Oligo,1764,0.4144736842105263
s_0158,Control,T cells,19,0.004464285714285714
s_0158,Control,VC,85,0.019971804511278196
s_0159,Control,Astro,974,0.20032908268202385
s_0159,Control,Micro,535,0.11003702180172768
s_0159,Control,Neurons,507,0.10427807486631016
s_0159,Control,OPC,326,0.06705059646236117
s_0159,Control,Oligo,2373,0.48807075277663514
s_0159,Control,T cells,18,0.003702180172768408
s_0159,Control,VC,129,0.02653229123817359
s_0165,Control,Astro,337,0.1236697247706422
s_0165,Control,Micro,145,0.05321100917431193
s_0165,Control,Neurons,142,0.052110091743119265
s_0165,Control,OPC,60,0.022018348623853212
s_0165,Control,Oligo,1945,0.7137614678899082
s_0165,Control,T cells,10,0.003669724770642202
s_0165,Control,VC,86,0.03155963302752294
