sample,group,cell_type
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,VC
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,OPC
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,OPC
s_0096,PD,Astro
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,T cells
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Neurons
s_0096,PD,OPC
s_0096,PD,Astro
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,OPC
s_0096,PD,Astro
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,OPC
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Neurons
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Neurons
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,OPC
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Astro
s_0096,PD,Neurons
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Astro
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,Micro
s_0096,PD,Oligo
s_0096,PD,Oligo
s_0096,PD,OPC
s_0096,PD,Oligo
