leiden_micro,condition,n_nuclei,n_donors,score_homeostatic,score_activated_GPNMB,score_interferon
0,Control,1296,10,0.3524130455567658,0.27882196496190587,-0.15049471293439123
0,PD,1735,15,0.3524130455567658,0.27882196496190587,-0.15049471293439123
1,Control,1652,12,0.4662592166481195,0.2177111192889015,-0.11668613326505378
1,PD,148,13,0.4662592166481195,0.2177111192889015,-0.11668613326505378
2,Control,739,13,0.5283906698366909,0.724546826053614,0.19937925732226083
2,PD,1021,14,0.5283906698366909,0.724546826053614,0.19937925732226083
3,Control,20,6,0.5390230736581001,0.5415323830099834,0.03113641630000611
3,PD,1066,7,0.5390230736581001,0.5415323830099834,0.03113641630000611
4,Control,793,8,0.1907024214470115,0.22473009182207332,-0.07287875769794852
4,PD,12,4,0.1907024214470115,0.22473009182207332,-0.07287875769794852
5,Control,373,3,0.39824597507457726,0.4019977949532448,-0.18496534444788143
5,PD,360,7,0.39824597507457726,0.4019977949532448,-0.18496534444788143
6,Control,72,10,0.1826120619291475,0.6855697142848802,-0.0031782700007890728
6,PD,615,15,0.1826120619291475,0.6855697142848802,-0.0031782700007890728
7,Control,1,1,-0.08405612537608635,0.3646848493126211,-0.12307730832802115
7,PD,626,3,-0.08405612537608635,0.3646848493126211,-0.12307730832802115
8,Control,547,3,0.02048925592032346,0.16598869518171655,-0.09687597159616874
8,PD,3,2,0.02048925592032346,0.16598869518171655,-0.09687597159616874
9,Control,525,4,-0.29815881574745084,0.2949904121389497,-0.0736855312644949
9,PD,6,4,-0.29815881574745084,0.2949904121389497,-0.0736855312644949
10,Control,225,14,-0.02516740666495429,0.1261589662716037,0.01955890139812546
10,PD,141,13,-0.02516740666495429,0.1261589662716037,0.01955890139812546
11,Control,61,13,0.02089448556319356,0.30631151320985966,-0.09008391855055826
11,PD,262,15,0.02089448556319356,0.30631151320985966,-0.09008391855055826
12,Control,51,13,0.026493058622536335,0.24594705510111484,-0.16307974138356895
12,PD,162,15,0.026493058622536335,0.24594705510111484,-0.16307974138356895
13,Control,79,8,0.7140206110477447,0.6386152813201997,-0.08436052710544772
13,PD,85,8,0.7140206110477447,0.6386152813201997,-0.08436052710544772
14,Control,153,2,-0.17042182635435293,0.11384577605476627,-0.04399625946949055
14,PD,1,1,-0.17042182635435293,0.11384577605476627,-0.04399625946949055
15,Control,3,2,0.32943303873066915,0.0899086449715428,-0.12400823974967899
15,PD,130,1,0.32943303873066915,0.0899086449715428,-0.12400823974967899
16,Control,32,1,-0.6189598313594858,-0.3356710526943207,-0.2764482253293196
